Working_Hours,Sleep_Hours,Task_Pressure,Mood_Level,Break_Frequency,Screen_Time,Stress_Level
9,7,9,9,2,8,Medium
6,7,5,8,2,7,Low
6,4,6,9,6,8,Low
6,7,9,10,2,5,Low
6,7,1,7,3,10,Low
11,5,9,6,2,4,Medium
7,4,4,1,6,4,Low
6,8,7,4,2,11,Medium
8,8,1,4,7,5,Low
6,6,5,6,2,8,Low
12,7,6,5,5,12,Medium
11,8,10,9,5,10,Medium
10,9,2,3,1,6,Low
12,4,1,1,3,9,Medium
7,9,7,2,6,12,Medium
6,9,5,7,7,4,Low
9,9,6,7,6,11,Low
7,7,7,2,6,10,Medium
12,8,9,10,5,6,Low
9,6,5,8,3,10,Low
7,7,9,7,8,6,Low
11,9,2,4,4,12,Low
12,7,7,10,8,12,Low
9,8,6,7,8,10,Low
8,9,1,3,1,8,Low
8,5,2,5,7,11,Low
12,5,9,4,8,12,High
8,9,1,3,5,11,Low
11,7,4,2,7,11,Medium
10,4,9,1,8,12,High
9,8,10,9,2,12,Medium
6,8,9,2,2,9,Medium
12,4,5,5,7,9,Medium
7,9,3,1,5,12,Low
9,9,9,7,7,8,Low
8,9,9,9,3,11,Medium
6,6,3,2,2,7,Low
7,5,4,10,6,4,Low
12,5,8,8,2,4,Medium
10,8,1,1,7,5,Low
7,9,5,5,6,7,Low
12,6,9,1,2,10,High
11,4,5,5,5,12,Medium
10,9,10,7,5,11,Medium
10,8,2,8,1,8,Low
7,4,1,6,5,7,Low
11,5,4,6,4,9,Medium
12,9,5,9,5,11,Low
7,4,5,10,2,8,Low
9,6,2,5,1,4,Low
10,7,6,4,8,11,Medium
9,8,8,6,5,7,Low
9,9,4,5,4,5,Low
9,8,8,4,7,8,Medium
8,6,2,10,6,5,Low
6,7,8,2,1,12,High
8,9,9,2,7,8,Medium
7,9,5,4,8,7,Low
12,8,3,5,4,11,Medium
8,8,4,7,1,9,Low
12,9,1,3,2,7,Low
12,4,6,4,2,9,High
8,8,2,2,8,4,Low
9,8,8,7,1,10,Medium
8,4,8,4,7,7,Medium
11,8,1,4,4,7,Low
9,5,8,2,4,5,Medium
8,6,1,3,1,7,Low
6,4,9,6,7,5,Low
8,8,5,2,4,11,Medium
10,5,6,10,8,6,Low
10,8,4,4,3,10,Medium
7,8,4,1,2,5,Low
10,7,3,10,4,11,Low
11,6,9,9,7,9,Medium
12,4,3,7,8,11,Low
9,6,10,7,2,11,High
6,6,5,9,1,5,Low
7,8,9,1,2,11,High
12,7,5,8,6,9,Low
8,9,8,3,6,12,Medium
9,9,10,4,8,5,Low
10,6,1,1,6,8,Low
11,4,10,8,7,4,Medium
11,7,5,1,8,8,Medium
6,6,5,4,8,10,Low
6,4,6,2,8,6,Low
9,5,5,6,1,6,Medium
9,8,1,3,2,6,Low
6,5,2,5,6,6,Low
7,9,8,6,3,5,Low
8,4,1,5,1,12,Medium
12,8,10,5,3,12,High
10,5,10,10,5,7,Medium
6,4,2,1,1,10,Medium
9,7,8,9,2,11,Medium
8,8,8,4,6,8,Medium
11,6,7,3,4,6,Medium
9,8,4,6,5,11,Low
12,7,10,4,6,11,High
10,4,4,8,3,5,Low
11,5,10,8,8,11,Medium
7,5,1,5,4,12,Low
7,6,8,9,6,5,Low
7,7,6,5,8,11,Low
11,4,3,4,2,9,Medium
7,7,1,10,4,9,Low
7,8,3,2,4,8,Low
9,6,4,6,7,4,Low
10,4,5,5,3,6,Medium
11,8,1,2,8,4,Low
9,6,2,6,6,4,Low
10,6,3,5,1,6,Low
8,8,10,3,4,7,Medium
10,8,3,4,1,8,Low
10,5,10,4,4,4,Medium
8,4,3,10,2,12,Low
6,8,6,9,4,11,Low
11,4,10,10,1,10,High
6,7,7,5,7,5,Low
